#goldschmidthappens
Batters
Avail,Player,HR,RBI,R,AB,Salary,SB,BA,Rank,
#goldschmidthappens,Dansby Swanson SS | ATL ,3,17,20,129,2,3,0.302,412
#goldschmidthappens,Robinson Cano 2B | SEA ,39,103,107,655,16,0,0.298,11
#goldschmidthappens,"Dustin Pedroia 2B | BOS ",15,74,105,633,5,7,0.318,45
#goldschmidthappens,David Peralta RF | ARI ,4,15,23,171,8,2,0.252,466
#goldschmidthappens,Eric Thames 1B | MIL ,0,0,0,0,1,0,0.000,9999
#goldschmidthappens,"Corey Seager SS | LAD ",26,72,105,627,29,3,0.308,38
#goldschmidthappens,Paul Goldschmidt 1B | ARI ,24,95,106,579,40,32,0.297,7
#goldschmidthappens,Jorge Alfaro C | PHI ,0,0,0,16,1,0,0.125,1023
#goldschmidthappens,Addison Russell SS | CHC ,21,95,67,525,4,5,0.238,111
#goldschmidthappens,Justin Bour 1B | PHI,15,51,35,280,3,0,0.264,231
#goldschmidthappens,Jason Heyward RF | CHC ,7,49,61,530,5,11,0.230,223
#goldschmidthappens,Ramon Laureano RF | OAK ,0,0,0,0,1,0,0.000,9999
#goldschmidthappens,Jurickson Profar LF | TEX ,5,20,35,272,2,2,0.239,400
#goldschmidthappens,Scott Schebler RF | CIN ,9,40,36,257,3,2,0.265,280
#goldschmidthappens,Joc Pederson CF | LAD ,25,68,64,406,1,6,0.246,117
#goldschmidthappens,Tucker Barnhart C | CIN ,7,51,34,377,1,1,0.257,291
#goldschmidthappens,"Christian Villanueva 3B | SD ",0,0,0,0,8,0,0.000,935
,TOTALS,200,750,798,5457,130,74,0.274,
Pitchers
Avail,Player,Salary,ERA,WHIP,INN,K,S,Rank,
#goldschmidthappens,Tyler Skaggs SP | LAA ,1,4.17,1.49,49.7,50,0,549
#goldschmidthappens,"Johnny Cueto SP | SF ",11,2.79,1.09,219.7,198,0,34
#goldschmidthappens,Matt Shoemaker SP | LAA ,1,3.88,1.23,160.0,143,0,203
#goldschmidthappens,Touki Toussaint SP | ATL,1,0.00,0.00,0.0,0,0,9999
#goldschmidthappens,Adam Ottavino RP | COL,1,2.67,0.93,27.0,35,7,385
#goldschmidthappens,Cole Hamels SP | CHC ,1,3.32,1.31,200.7,200,0,105
#goldschmidthappens,Wade LeBlanc RP | SEA ,1,3.77,1.13,62.0,51,2,365
#goldschmidthappens,Miles Mikolas SP | STL ,8,0.00,0.00,0.0,0,0,9999
#goldschmidthappens,"Alex Reyes SP | STL ",3,1.56,1.22,46.0,52,1,330
#goldschmidthappens,"Sean Manaea SP | OAK ",5,3.86,1.19,144.7,124,0,239
#goldschmidthappens,Wade Miley SP | MIL ,1,5.37,1.42,166.0,137,0,424
#goldschmidthappens,Lance Lynn SP | NYY ,1,0.00,0.00,0.0,0,0,836
#goldschmidthappens,Brett Anderson SP | OAK ,1,11.91,2.56,11.3,5,0,1088
,TOTALS,36,3.74,1.25,1087.0,995,10,
Big Dig
Batters
Avail,Player,HR,RBI,R,AB,Salary,SB,BA,Rank,
Big Dig,Evan Longoria 3B | SF ,36,98,81,633,1,0,0.273,46
Big Dig,Freddie Freeman 1B | ATL ,34,91,102,589,38,6,0.302,17
Big Dig,Brandon Belt 1B | SF ,17,82,77,542,1,0,0.275,106
Big Dig,Austin Romine C | NYY,4,26,17,165,1,1,0.242,467
Big Dig,Francisco Arcia C | LAA ,0,0,0,0,1,0,0.000,9999
Big Dig,Ian Kinsler 2B | BOS ,28,83,117,618,1,14,0.288,16
Big Dig,Andrew Benintendi LF | BOS ,2,14,16,105,30,1,0.295,507
Big Dig,Ryan Braun LF | MIL ,30,91,80,511,16,16,0.305,25
Big Dig,Javier Baez 2B | CHC ,14,59,50,421,15,12,0.273,145
Big Dig,"Buster Posey C | SF ",14,80,82,539,23,6,0.288,84
Big Dig,Kole Calhoun RF | LAA,18,75,91,594,1,2,0.271,92
Big Dig,Mike Trout CF | LAA ,29,100,123,549,47,30,0.315,2
Big Dig,DJ LeMahieu 2B | COL,11,66,104,552,16,11,0.348,39
Big Dig,Hunter Renfroe RF | SD ,4,14,8,35,3,0,0.371,530
Big Dig,"Jesse Winker RF | CIN ",0,0,0,0,1,0,0.000,9999
Big Dig,Chris Taylor CF | LAD,1,7,8,61,1,0,0.213,701
,TOTALS,242,886,956,5914,196,99,0.292,
Pitchers
Avail,Player,Salary,ERA,WHIP,INN,K,S,Rank,
Big Dig,Hyun-Jin Ryu SP | LAD ,2,11.57,2.14,4.7,4,0,1012
Big Dig,Robbie Ray SP | ARI ,2,4.90,1.47,174.3,218,0,294
Big Dig,Drew Steckenrider RP | MIA,1,0.00,0.00,0.0,0,0,9999
Big Dig,Framber Valdez RP | HOU ,1,0.00,0.00,0.0,0,0,9999
Big Dig,Ty Buttrey RP | LAA ,1,0.00,0.00,0.0,0,0,9999
Big Dig,Vince Velasquez SP | PHI ,1,4.12,1.33,131.0,152,0,245
Big Dig,Jim Johnson RP | LAA ,1,3.06,1.19,64.7,68,20,240
Big Dig,Tommy Hunter RP | PHI,1,3.18,1.26,34.0,23,0,553
Big Dig,Adam Wainwright SP | STL ,1,4.62,1.40,198.7,161,0,261
Big Dig,"Taijuan Walker SP | ARI ",4,4.22,1.24,134.3,119,0,269
Big Dig,Chase Anderson SP | MIL ,1,4.39,1.37,151.7,120,0,317
Big Dig,Noah Syndergaard SP | NYM ,30,2.60,1.15,183.7,218,0,54
Big Dig,"Clay Buchholz SP | ARI ",1,4.78,1.33,139.3,93,0,378
Big Dig,Clayton Kershaw SP | LAD ,50,1.69,0.72,149.0,172,0,27
,TOTALS,97,3.88,1.26,1365.3,1348,20,
Black Flag
Batters
Avail,Player,HR,RBI,R,AB,Salary,SB,BA,Rank,
Black Flag,Eduardo Escobar 3B | ARI ,6,37,32,352,22,1,0.236,362
Black Flag,Dee Gordon 2B | SEA ,1,14,47,325,39,30,0.268,207
Black Flag,Wil Myers 1B | SD ,28,94,99,599,20,28,0.259,15
Black Flag,Ian Desmond LF | COL ,22,86,107,625,2,21,0.285,23
Black Flag,"Franchy Cordero CF | SD ",0,0,0,0,4,0,0.000,9999
Black Flag,"Travis d'Arnaud C | NYM ",4,15,27,251,2,0,0.247,485
